address1,voice,Number of employees,address2,address3,city,state,postal_code,country,web,NAICS-Description,NAICS-Number,Additional Comment,Lead Origin,Notes,temp_cntct_id
1A Auto Parts,(888) 844 3393,100-199,10 Technology Park Drive,Suite 101,Westford,Massachusetts,1886,United States,www.1aauto.com,Retail,,1999,LF,;;;;;;;;;,1
3DBioCAD,(877) 878 3348,50-99,1525 N 4th St,,Renton,Washington,98057,United States,www.3dbiocad.com,Research,0,,LF,;these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors;similar to CDB?;;;;;;;,2
99 Cents Only Store,(888) 582 5999,"2,000+",4000 Union Pacific Ave,,City of Commerce,California,90023,United States,www.99only.com,Retail,85310,1982,LF,;;;;;;;;;,3
A A R Electronics Inc,(985) 876 4096,20-Jan,510 W Tunnel Blvd,,Houma,Louisiana,70360,United States,www.aarelectronics.com,Telecommunications,82990,,LF,;Henry Landeche president; Ryan Rodrigue CTO; Corey Fontenot GM;;;;;;;;,4
A123 Systems LLC,(617) 778 5700,"2,000+",88 Airport Road,,Elgin,Illinois,60123,United States,www.a123systems.com,Oil and Energy,,2001,LF,;;;;;;;;;,5
Aalborg Instruments & Controls Inc,(845) 770 3000,20-Jan,20 Corporate Drive,,Orangeburg,New York,10962,United States,www.aalborg.com,Manufacturing,,1972,LF,Division of  Alfa Laval Group. Decision -making centered in Denmark.;;;;;;;;;,6
Abbvie,(800) 255 5162,"2,000+",1 N Waukegan Rd,,North Chicago,Illinois,60064,United States,www.abbvie.com,Pharmaceuticals,78300,2013,LF,NA;;;;;;;;;,7
ABC Supply Co Inc,(608) 362 7777,"2,000+",1 ABC Parkway,,Beloit,Wisconsin,53511,United States,www.abcsupply.com,Building Materials and Tools,,1982,LF,;;;;;;;;;,8
ABIS Inc,(713) 680 2247,21-49,1415 North Loop West,Suite 1200,Houston,Texas,77008,United States,www.abiscorp.com,Management Consulting,,1983,LF,;Ray Kimble rkimble@abiscorp.com; Dennis Mosley dmosley@abiscorp.com; Wally met OCT2014 in Nashville at PMA - invite to 5/12 https://xtuple.com/roadshow-houston;ABIS is in df - they've been pretty active on website;Looks like a potential partner; yes? --Rick;;;;;;,9
ABP International Inc,(972) 831 1600,21-49,13988 Diplomat Dr,Suite 180,Dallas,Texas,75234,United States,www.abptech.com,Telecommunications,,2001,LF,;;;;;;;;;,10
Absolute Coatings Inc,(973) 887 8007,20-Jan,3 S Corporate Dr,,Riverdale,New Jersey,7457,United States,,Manufacturing,347904,,LF,;;;;;;;;;,11
Accardi Companies,(718) 793 6900,,76-15 Myrtle Ave,,Glendale,New York,11385,United States,www.accardicompanies.com,Manufacturing,,,LF,;;;;;;;;;,12
Accents de Ville Imports,(514) 331 2166,,,,Montreal (QC),,,Canada,www.adv-imports.com,,,,LF,;was testing our software but no contact info on record;;;;;;;;,13
ACCO Brands Corporation,(800) 222 6462,"2,000+",Four Corporate Drive,,Lake Zurich,Illinois,60047,United States,www.accobrands.com,Business Supplies and Equipment,94120,1910,LF,;;;;;;;;;,14
AccuGeo Liner Inc,(800) 955 4637,20-Jan,321 Industrial St,,Bakersfield,California,93307,United States,www.accugeo.com,Plastics,179949,,LF,;Need sales script;Dale Borsma CEO invite to https://xtuple.com/roadshow-socal;;;;;;;,15
Acculogic Technologies Inc,(604) 732 4400,,,,Vancouver (BC),,,Canada,www.acculogic.ca,,,,LF,;Murray Klaiman owner; appointment should be w/xTuple's Danielle Kerner;;;;;;;;,16
Accurate Lock & Safe Company,(604) 659 2911,,,,Westminster (BC),,,Canada,www.accuratesecurity.com,,,,LF,;these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors;;;;;;;;,17
Ace Mart Restaurant Supply,(888) 223 6278,500-999,2619 Austin Highway,,San Antonio,Texas,78218,United States,www.acemart.com,Wholesalers,,1975,LF,;chuck@acemart.com Chuck Bridgman CFO invite to https://xtuple.com/roadshow-houston;;;;;;;;,18
Acelity LP,(800) 275 4524,,,,San Antonio (TX),Texas,,United States,www.acelity.com,,,,LF,;;;;;;;;;,19
Acer Cloud Technology Inc,(408) 830 9809,,800 W California Ave,Suite 200,Sunnyvale,California,94086,United States,,Information Technology and Services,,,LF,;;;;;;;;;,20
ACP Direct Inc,(800) 238 8009,,2125 Chenault Dr,Suite 101,Carrollton,,75006,United States,www.acpdirect.com,Retail,,,LF,;Chuck Morris president chuck@acpdirect. com;;;;;;;;,21
ACS Solutions,(800) 241 9881,21-49,495 Horizon Dr NE,Suite 200,Suwanee,Georgia,30024,United States,www.acssolutions.com,Electrical/Electronic Manufacturing,,1978,LF,;these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors;Dave Fox https://www.linkedin.com/in/dave-fox-b55375a;;;;;;;,22
Acumen,(888) 632 9901,21-49,3950 Long Beach Blvd,,Long Beach,California,90807,United States,www.acumengroup.us,Computer Software,,1993,LF,He is at lunch right now;;Jeffrey Sawyer jsawyer@acumengroup.us;;;;;;;,23
Adchem Corporation,(631) 727 6000,100-199,1852 Old Country Rd,,Riverhead,New York,11901,United States,www.adchem.com,Automotive,0,,LF,IT Mananger ext 234 he is not at his desk;;;;;;;;;,24
Adcom,(818) 765 9955,,,,North Hollywood (CA),California,,United States,www.adcom.com,,,,LF,;;;;;;;;;,25
