Name,ID,Notes,,,,
1A Auto Parts,(888) 844 3393,",,,,,,,,,",,,,
3DBioCAD,(877) 878 3348,",these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors,similar to CDB?,,,,,,,",,,,
99 Cents Only Store,(888) 582 5999,",,,,,,,,,",,,,
A A R Electronics Inc,(985) 876 4096,",Henry Landeche president, Ryan Rodrigue CTO, Corey Fontenot GM,,,,,,,,",,,,
A123 Systems LLC,(617) 778 5700,",,,,,,,,,",,,,
Aalborg Instruments & Controls Inc,(845) 770 3000,"Division of  Alfa Laval Group. Decision -making centered in Denmark.,,,,,,,,,",,,,
Abbvie,(800) 255 5162,"NA,,,,,,,,,",,,,
ABC Supply Co Inc,(608) 362 7777,",,,,,,,,,",,,,
ABIS Inc,(713) 680 2247,",Ray Kimble rkimble@abiscorp.com; Dennis Mosley dmosley@abiscorp.com; Wally met OCT2014 in Nashville at PMA - invite to 5/12 https://xtuple.com/roadshow-houston,ABIS is in df - they've been pretty active on website,Looks like a potential partner, yes? --Rick,,,,,,",,,,
ABP International Inc,(972) 831 1600,",,,,,,,,,",,,,
Absolute Coatings Inc,(973) 887 8007,",,,,,,,,,",,,,
Accardi Companies,(718) 793 6900,",,,,,,,,,",,,,
Accents de Ville Imports,(514) 331 2166,",was testing our software but no contact info on record,,,,,,,,",,,,
ACCO Brands Corporation,(800) 222 6462,",,,,,,,,,",,,,
AccuGeo Liner Inc,(800) 955 4637,",Need sales script,Dale Borsma CEO invite to https://xtuple.com/roadshow-socal,,,,,,,",,,,
Acculogic Technologies Inc,(604) 732 4400,",Murray Klaiman owner; appointment should be w/xTuple's Danielle Kerner,,,,,,,,",,,,
Accurate Lock & Safe Company,(604) 659 2911,",these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors,,,,,,,,",,,,
Ace Mart Restaurant Supply,(888) 223 6278,",chuck@acemart.com Chuck Bridgman CFO invite to https://xtuple.com/roadshow-houston,,,,,,,,",,,,
Acelity LP,(800) 275 4524,",,,,,,,,,",,,,
Acer Cloud Technology Inc,(408) 830 9809,",,,,,,,,,",,,,
